No.,Vulnerability Title,Stage,Reason,Vulnerability ID,Severity,Affected Versions,CVE,CWE,Vulnerability Link,Vulnerability Link（超链接）
77,Microsoft Teams media fetch SSRF hardening: unified guarded fetch across Graph and attachment paths,Resource Access Stage,漏洞涉及服务器端请求伪造（SSRF），属于系统在访问外部资源时未正确验证目标地址，导致可访问非预期内部或外部资源。,GHSA-7QF6-H84J-8FQ4,Moderate,<=2026.2.25,,CWE-367; CWE-918,https://github.com/openclaw/openclaw/security/advisories/GHSA-7qf6-h84j-8fq4,Vulnerability Link
78,Chutes manual OAuth state validation bypass can cause credential substitution,Authentication & Authorization Decision Stage,漏洞涉及OAuth状态验证绕过，直接导致身份认证和授权决策被破坏,GHSA-7RCP-MXPQ-72PJ,Moderate,<= 2026.2.13,,CWE-352,https://github.com/openclaw/openclaw/security/advisories/GHSA-7rcp-mxpq-72pj,Vulnerability Link
79,MS Teams inbound attachment downloader leaks bearer tokens to allowlisted suffix domains,Persistence & Output Presentation Stage,漏洞导致 bearer tokens 在输出或请求过程中被泄露到允许的域名，属于敏感信息在传输或展示阶段的暴露。,GHSA-7VWX-582J-J332,High,<= 2026.1.30,,CWE-201,https://github.com/openclaw/openclaw/security/advisories/GHSA-7vwx-582j-j332,Vulnerability Link
80,Hook transform module path allows traversal and arbitrary JavaScript module loading,Resource Access Stage,漏洞涉及路径遍历导致任意JavaScript模块加载，属于对文件系统资源的越界访问。,GHSA-7XHJ-55Q9-PC3M,Moderate,>= 2.0.0-beta3 and <= 2026.2.13,,CWE-22,https://github.com/openclaw/openclaw/security/advisories/GHSA-7xhj-55q9-pc3m,Vulnerability Link
81,Sandbox media TOCTOU could read files outside sandbox root,Resource Access Stage,漏洞利用TOCTOU竞争条件绕过沙箱限制，直接访问了沙箱外的文件资源,GHSA-7XMQ-G46G-F8PV,Moderate,<= 2026.2.26,,CWE-59; CWE-367,https://github.com/openclaw/openclaw/security/advisories/GHSA-7xmq-g46g-f8pv,Vulnerability Link
82,Skill env override host env injection,Execution Stage,漏洞涉及环境变量注入导致代码或命令执行，属于解释器或执行上下文被恶意操控,GHSA-82G8-464F-2MV7,Moderate,<= 2026.2.19-2,,CWE-15; CWE-94; CWE-1341,https://github.com/openclaw/openclaw/security/advisories/GHSA-82g8-464f-2mv7,Vulnerability Link
83,SSRF guard bypass via IPv6 transition over ISATAP,Resource Access Stage,该漏洞涉及服务器端请求伪造（SSRF），允许攻击者绕过防护机制访问内部资源，属于系统在访问网络资源时的控制失效。,GHSA-8CP7-RP8R-MG77,Moderate,>=2026.1.20 <=2026.2.17,,CWE-918,https://github.com/openclaw/openclaw/security/advisories/GHSA-8cp7-rp8r-mg77,Vulnerability Link
84,Config env vars allowed startup env injection into service runtime,Input Ingress Stage,环境变量作为外部输入在系统启动时被注入并影响运行时行为，属于输入解析与规范化阶段的问题。,GHSA-8FMP-37RC-P5G7,Moderate,<=2026.2.19-2 || =2026.2.19,,CWE-15,https://github.com/openclaw/openclaw/security/advisories/GHSA-8fmp-37rc-p5g7,Vulnerability Link
85,/api/channels gateway-auth boundary bypass via path canonicalization mismatch,Authentication & Authorization Decision Stage,漏洞通过路径规范化不一致绕过了网关认证边界，直接导致认证或授权决策失效。,GHSA-8J2W-6FMM-M587,Moderate,<= 2026.2.25,,CWE-288,https://github.com/openclaw/openclaw/security/advisories/GHSA-8j2w-6fmm-m587,Vulnerability Link
86,DUPLICATE of GHSA-3c6h-g97w-fg78: safeBins denied flags can be bypassed via GNU long-option abbreviations,Authentication & Authorization Decision Stage,漏洞涉及通过选项缩写绕过安全标志的权限限制，属于授权判定被绕过的问题。,GHSA-3C6H-G97W-FG78,Moderate,<= 2026.2.22-2,,CWE-184,https://github.com/openclaw/openclaw/security/advisories/GHSA-8j9w-9pm5-pv8m,Vulnerability Link
87,Local file disclosure via sendMediaFeishu in Feishu extension,Resource Access Stage,漏洞涉及通过sendMediaFeishu功能读取任意本地文件，属于对文件资源的越权访问。,GHSA-8JPQ-5H99-FF5R,High,< 2026.2.14,CVE-2026-26321,CWE-22,https://github.com/openclaw/openclaw/security/advisories/GHSA-8jpq-5h99-ff5r,Vulnerability Link
88,Unauthorized sender bypass in stop triggers and /models command authorization,Authentication & Authorization Decision Stage,漏洞涉及未授权用户绕过发送者身份验证，直接违反了权限判断逻辑。,GHSA-8M9V-XPGF-G99M,Moderate,<= 2026.2.26,,CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-8m9v-xpgf-g99m,Vulnerability Link
89,tools.exec.safeBins generic fallback allowed interpreter-style inline payload execution in allowlist mode,Execution Stage,漏洞允许在白名单模式下执行解释器风格的内联载荷，直接导致命令注入和代码执行。,GHSA-8MF7-VV8W-HJR2,Low,<= 2026.2.21-2,,CWE-78; CWE-693,https://github.com/openclaw/openclaw/security/advisories/GHSA-8mf7-vv8w-hjr2,Vulnerability Link
90,skills.status could leak secrets to operator.read clients,Persistence & Output Presentation Stage,漏洞导致敏感信息通过状态接口泄露给低权限用户，属于输出展示不当造成的信息暴露。,GHSA-8MH7-PHF8-XGFM,Moderate,<= 2026.2.13,CVE-2026-26326,CWE-200,https://github.com/openclaw/openclaw/security/advisories/GHSA-8mh7-phf8-xgfm,Vulnerability Link
91,web tools strict URL guard could lose DNS pinning when env proxy is configured,Resource Access Stage,漏洞涉及DNS pinning丢失，导致SSRF（CWE-918）和TOCTOU（CWE-367）问题，核心在于对网络资源的不安全访问。,GHSA-8MVX-P2R9-R375,High,<= 2026.3.1,,CWE-367; CWE-918,https://github.com/openclaw/openclaw/security/advisories/GHSA-8mvx-p2r9-r375,Vulnerability Link
92,OC-02: Gateway /tools/invoke tool escalation + ACP permission auto-approval,Authentication & Authorization Decision Stage,漏洞涉及权限自动批准和权限提升，核心问题是授权决策缺失或错误。,GHSA-943Q-MWMV-HHVH,High,<2026.2.14,,CWE-78,https://github.com/openclaw/openclaw/security/advisories/GHSA-943q-mwmv-hhvh,Vulnerability Link
93,system.run allowlist bypass via shell line-continuation command substitution,Execution Stage,漏洞通过命令注入绕过allowlist执行任意命令，属于命令执行阶段。,GHSA-9868-VXMX-W862,Moderate,<=2026.2.21-2,,CWE-78; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-9868-vxmx-w862,Vulnerability Link
94,Native prompt image auto-load did not honor tools.fs.workspaceOnly in sandboxed runs,Resource Access Stage,漏洞涉及未正确限制文件系统访问范围，导致在沙箱环境中可能访问非工作区资源，属于资源访问控制失效。,GHSA-9F72-QCPW-2HXC,High,<= 2026.2.23,,CWE-200; CWE-284,https://github.com/openclaw/openclaw/security/advisories/GHSA-9f72-qcpw-2hxc,Vulnerability Link
95,Agent avatar symlink traversal in gateway session metadata,Resource Access Stage,漏洞涉及符号链接遍历，导致非授权访问文件系统资源,GHSA-9MPH-4F7V-FMVH,Moderate,<= 2026.2.21-2,,,https://github.com/openclaw/openclaw/security/advisories/GHSA-9mph-4f7v-fmvh,Vulnerability Link
96,macOS `system.run` allowlist bypass via quoted command substitution,Execution Stage,漏洞涉及通过命令替换绕过allowlist执行任意命令，属于命令注入导致的代码执行问题。,GHSA-9P38-94JF-HGJJ,Moderate,<=2026.2.21-2,,CWE-78,https://github.com/openclaw/openclaw/security/advisories/GHSA-9p38-94jf-hgjj,Vulnerability Link
97,system.run allow-always persistence included shell-commented payload tails,Persistence & Output Presentation Stage,漏洞涉及持久化配置中包含被注释的恶意载荷，属于存储型问题导致的安全风险。,GHSA-9Q2P-VC84-2RWM,Moderate,<= 2026.3.2,,CWE-436; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-9q2p-vc84-2rwm,Vulnerability Link
98,Sandboxed /acp spawn requests could initialize host ACP sessions,Authentication & Authorization Decision Stage,漏洞涉及沙箱中对主机ACP会话的未授权初始化，属于权限控制和认证决策失效问题。,GHSA-9Q36-67VC-RRWG,Moderate,<= 2026.3.2,,CWE-284; CWE-693,https://github.com/openclaw/openclaw/security/advisories/GHSA-9q36-67vc-rrwg,Vulnerability Link
99,Twilio voice-call webhook auth bypass when ngrok loopback compatibility is enabled,Authentication & Authorization Decision Stage,漏洞涉及身份验证绕过，属于认证与授权决策阶段的问题。,GHSA-C37P-4QQG-3P76,Moderate,<=2026.2.13,,CWE-306,https://github.com/openclaw/openclaw/security/advisories/GHSA-c37p-4qqg-3p76,Vulnerability Link
100,ReDoS and regex injection via unescaped Feishu mention metadata in RegExp construction,Execution Stage,漏洞源于在构造正则表达式时未转义用户输入，导致正则注入和ReDoS，属于执行阶段的危险模式执行问题。,GHSA-C6HR-W26Q-C636,Moderate,<= 2026.2.17,,CWE-1333,https://github.com/openclaw/openclaw/security/advisories/GHSA-c6hr-w26q-c636,Vulnerability Link
101,Dispatch-wrapper depth-cap mismatch can bypass shell-wrapper approval gating in system.run allowlist mode,Authentication & Authorization Decision Stage,漏洞涉及绕过系统运行命令的审批门控机制，属于权限判断和授权控制失效。,GHSA-CCG8-46R6-9QGJ,Moderate,<= 2026.2.23,,CWE-284; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-ccg8-46r6-9qgj,Vulnerability Link
102,stageSandboxMedia destination symlink traversal can overwrite files outside sandbox workspace,Resource Access Stage,漏洞涉及符号链接遍历导致越权访问并覆盖沙箱外的文件，属于资源访问控制失效。,GHSA-CFVJ-7RX7-FC7C,Moderate,<= 2026.3.1,,CWE-59,https://github.com/openclaw/openclaw/security/advisories/GHSA-cfvj-7rx7-fc7c,Vulnerability Link
103,OC-17: Telegram bot token exposure via logs,Persistence & Output Presentation Stage,漏洞因日志中暴露敏感信息（Telegram bot token）导致，属于输出或持久化过程中敏感数据泄露问题。,GHSA-CHF7-JQ6G-QRWV,Moderate,<= 2026.2.14,CVE-2026-27003,CWE-522,https://github.com/openclaw/openclaw/security/advisories/GHSA-chf7-jq6g-qrwv,Vulnerability Link
104,Google Chat spoofing access with allowlist authorized mutable email principal despite sender-ID mismatch,Authentication & Authorization Decision Stage,漏洞涉及授权主体与发送者身份不匹配时仍被允许访问，属于权限判断错误。,GHSA-CHM2-M3W2-WCXM,Low,<=2026.1.24-3,,CWE-290; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-chm2-m3w2-wcxm,Vulnerability Link
105,Canvas route hardening for mixed-trust deployments,Persistence & Output Presentation Stage,漏洞涉及输出内容未正确处理，导致XSS（CWE-79）和不安全的iframe嵌入（CWE-1021），属于输出展示不当引发的安全问题。,GHSA-CJV3-M589-V3RX,Moderate,<= 2026.2.19-2,,CWE-79; CWE-1021,https://github.com/openclaw/openclaw/security/advisories/GHSA-cjv3-m589-v3rx,Vulnerability Link
106,Path traversal in browser upload allows local file read,Resource Access Stage,漏洞允许通过路径遍历读取本地文件，属于对文件资源的越界访问。,GHSA-CV7M-C9JX-VG7Q,High,<2026.2.14,CVE-2026-26329,CWE-22,https://github.com/openclaw/openclaw/security/advisories/GHSA-cv7m-c9jx-vg7q,Vulnerability Link
107,OC-53: ACP prompt-size checks missing in local stdio bridge could reduce responsiveness with very large inputs,Input Ingress Stage,漏洞源于未对输入大小进行校验，导致系统在处理超大输入时响应性下降，属于输入解析和校验缺失问题。,GHSA-CXPW-2G23-2VGW,Low,<=2026.2.17,CVE-2026-27576,CWE-20; CWE-400,https://github.com/openclaw/openclaw/security/advisories/GHSA-cxpw-2g23-2vgw,Vulnerability Link
108,Elevated allowFrom matching tightened for sender-scoped authorization,Authentication & Authorization Decision Stage,漏洞涉及 sender-scoped 授权中的 allowFrom 匹配逻辑，属于权限判断错误导致的认证授权绕过问题。,GHSA-F6H3-846H-2R8W,Moderate,<= 2026.2.21-2,,CWE-639,https://github.com/openclaw/openclaw/security/advisories/GHSA-f6h3-846h-2r8w,Vulnerability Link
109,Node system.run approval bypass via parent-symlink cwd rebind,Resource Access Stage,漏洞利用符号链接导致工作目录重绑定，从而访问非预期资源，属于资源访问阶段的路径遍历或资源绑定错误。,GHSA-F7WW-2725-QVW2,Moderate,<= 2026.2.25,,CWE-59; CWE-367,https://github.com/openclaw/openclaw/security/advisories/GHSA-f7ww-2725-qvw2,Vulnerability Link
110,Shell env fallback trusts unvalidated SHELL path from host environment,Execution Stage,漏洞涉及未验证的SHELL环境变量路径被用于执行命令，属于命令注入类问题，直接导致任意代码执行。,GHSA-F8MP-VJ46-CQ8V,Moderate,<= 2026.2.21-2,,CWE-78; CWE-426,https://github.com/openclaw/openclaw/security/advisories/GHSA-f8mp-vj46-cq8v,Vulnerability Link
111,Plugin runtime command execution is part of trusted plugin boundary,Execution Stage,CWE-78 表示操作系统命令注入，属于命令执行阶段,GHSA-FF98-W8HJ-QRXF,Low,<= 2026.2.17,,CWE-78,https://github.com/openclaw/openclaw/security/advisories/GHSA-ff98-w8hj-qrxf,Vulnerability Link
112,Windows Lobster shell fallback command injection in constrained fallback path,Execution Stage,该漏洞涉及命令注入（CWE-78），直接导致系统在执行阶段运行了非预期的命令。,GHSA-FG3M-VHRR-8GJ6,Low,>= 2026.1.21 <= 2026.2.17,,CWE-78,https://github.com/openclaw/openclaw/security/advisories/GHSA-fg3m-vhrr-8gj6,Vulnerability Link
113,Gateway agents.files symlink escape allowed out-of-workspace file read/write,Resource Access Stage,漏洞涉及符号链接逃逸导致工作区外的文件被读写，属于资源访问控制失效。,GHSA-FGVX-58P6-GJWC,Moderate,<= 2026.2.24,,CWE-22; CWE-59,https://github.com/openclaw/openclaw/security/advisories/GHSA-fgvx-58p6-gjwc,Vulnerability Link
114,Replace deprecated sandbox hash algorithm,Execution Stage,沙箱哈希算法过时可能导致沙箱逃逸，属于执行阶段的安全问题,GHSA-FH3F-Q9QW-93J9,Moderate,<=2026.2.14,,,https://github.com/openclaw/openclaw/security/advisories/GHSA-fh3f-q9qw-93j9,Vulnerability Link
115,Potential access-group authorization bypass if channel type lookup fails,Authentication & Authorization Decision Stage,漏洞涉及授权绕过，核心问题在于权限判断失效,GHSA-FHVM-J76F-QMJV,High,<= 2026.1.30,,CWE-285,https://github.com/openclaw/openclaw/security/advisories/GHSA-fhvm-j76f-qmjv,Vulnerability Link
116,Message action attachment hydration bypasses local media root checks when sandboxRoot is unset,Resource Access Stage,漏洞绕过本地媒体根目录检查，导致可访问任意文件，属于资源访问控制失效。,GHSA-FQCM-97M6-W7RM,Moderate,<= 2026.2.23,,CWE-22; CWE-200,https://github.com/openclaw/openclaw/security/advisories/GHSA-fqcm-97m6-w7rm,Vulnerability Link
117,OpenClaw log poisoning (indirect prompt injection) via WebSocket headers,Input Ingress Stage,漏洞通过WebSocket头注入恶意输入，影响日志内容，属于外部输入进入系统时未正确处理。,GHSA-G27F-9QJV-22PM,Low,<= 2026.2.12,,CWE-117,https://github.com/openclaw/openclaw/security/advisories/GHSA-g27f-9qjv-22pm,Vulnerability Link
118,"iMessage group allowlist authorization inherited DM pairing-store identities, enabling cross-context command authorization",Authentication & Authorization Decision Stage,漏洞涉及授权机制错误，导致跨上下文命令授权，属于权限判断和身份验证阶段的问题。,GHSA-G34W-4XQQ-H79M,Moderate,<=2026.1.24-3,CVE-2026-26328,CWE-284; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-g34w-4xqq-h79m,Vulnerability Link
119,Unauthenticated Local RCE via WebSocket config.apply,Execution Stage,漏洞核心是未经认证的本地远程代码执行（RCE），直接涉及命令注入和危险函数执行。,GHSA-G55J-C2V4-PJCG,High,< 2026.1.20,CVE-2026-25593,CWE-20; CWE-78; CWE-306,https://github.com/openclaw/openclaw/security/advisories/GHSA-g55j-c2v4-pjcg,Vulnerability Link
120,Gateway tool allowed unrestricted gatewayUrl override,Resource Access Stage,漏洞允许通过不受限的gatewayUrl覆盖发起任意后端请求，属于服务端请求伪造（SSRF），直接导致对内部资源的非授权访问。,GHSA-G6Q9-8FVW-F7RF,High,<=2026.2.13,CVE-2026-26322,CWE-918,https://github.com/openclaw/openclaw/security/advisories/GHSA-g6q9-8fvw-f7rf,Vulnerability Link
121,`tools.exec.safeBins` PATH-hijack allowed trojan binaries to bypass allowlist checks,Execution Stage,漏洞涉及执行阶段的二进制文件劫持，绕过允许列表检查导致非预期代码执行。,GHSA-G75X-8QQM-2VXP,Moderate,>=2026.1.21 <2026.2.18,,CWE-426; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-g75x-8qqm-2vxp,Vulnerability Link
122,1-Click RCE via Authentication Token Exfiltration From gatewayUrl,Authentication & Authorization Decision Stage,漏洞通过从 gatewayUrl 泄露认证令牌，直接绕过身份验证，属于认证阶段的问题。,GHSA-G8P2-7WF7-98MQ,High,<=v2026.1.28,,CWE-200,https://github.com/openclaw/openclaw/security/advisories/GHSA-g8p2-7wf7-98mq,Vulnerability Link
123,web_search citation redirect SSRF via private-network-allowing policy,Resource Access Stage,该漏洞涉及服务器端请求伪造（SSRF），允许攻击者通过重定向访问内部私有网络资源，属于系统在访问外部或内部资源时未正确限制目标地址的问题。,GHSA-G99V-8HWM-G76G,Moderate,<= 2026.2.26,,CWE-918,https://github.com/openclaw/openclaw/security/advisories/GHSA-g99v-8hwm-g76g,Vulnerability Link
124,voice-call Twilio replay dedupe now bound to authenticated webhook identity,Authentication & Authorization Decision Stage,漏洞涉及身份验证缺失（CWE-294）和认证绕过，核心问题在于未正确验证Webhook请求的身份。,GHSA-GCJ7-R3HG-M7W6,Low,<=2026.2.25,,CWE-294; CWE-345,https://github.com/openclaw/openclaw/security/advisories/GHSA-gcj7-r3hg-m7w6,Vulnerability Link
125,LINE group allowlist scope mismatch with DM pairing-store entries,Authentication & Authorization Decision Stage,CWE-863 表示授权验证不正确，漏洞核心在于权限判断错误导致作用域不匹配,GHSA-GP3Q-WPQ4-5C5H,High,<= 2026.2.25,,CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-gp3q-wpq4-5c5h,Vulnerability Link
126,Serialize sandbox registry writes to prevent races and delete-rollback corruption,Persistence & Output Presentation Stage,漏洞涉及序列化写入沙箱注册表，防止并发写入导致的数据损坏或回滚问题，属于数据持久化阶段的竞态条件。,GHSA-GQ83-8Q7Q-9HFX,Moderate,<=2026.2.17,,,https://github.com/openclaw/openclaw/security/advisories/GHSA-gq83-8q7q-9hfx,Vulnerability Link
127,Path traversal in browser trace/download output paths may allow arbitrary file writes outside OpenClaw temp directories,Resource Access Stage,漏洞涉及路径遍历导致任意文件写入，属于对文件资源的越界访问。,GHSA-GQ9C-WG68-GWJ2,High,< 2026.2.13,,CWE-22,https://github.com/openclaw/openclaw/security/advisories/GHSA-gq9c-wg68-gwj2,Vulnerability Link
128,Remote Code Execution via Node Invoke Approval Bypass in Gateway,Authentication & Authorization Decision Stage,漏洞核心在于绕过审批（approval bypass），属于权限判断缺失导致的越权执行。,GHSA-GV46-4XFQ-JV58,Critical,< 2026.2.14,,CWE-20; CWE-441; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-gv46-4xfq-jv58,Vulnerability Link
129,"Synology Chat dmPolicy=allowlist failed open on empty allowedUserIds, allowing unauthorized agent dispatch",Authentication & Authorization Decision Stage,漏洞核心在于权限判断逻辑错误，导致未授权用户可被允许执行操作,GHSA-GW85-XP4Q-5GP9,Moderate,">= 2026.2.22, <= 2026.2.23",,CWE-284; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-gw85-xp4q-5gp9,Vulnerability Link
130,exec allow-always can be bypassed via unrecognized multiplexer shell wrappers (busybox/toybox sh -c),Authentication & Authorization Decision Stage,漏洞涉及 exec allow-always 策略的绕过，属于权限控制失效问题,GHSA-GWQP-86Q6-W47G,Moderate,<= 2026.2.22-2,,CWE-184,https://github.com/openclaw/openclaw/security/advisories/GHSA-gwqp-86q6-w47g,Vulnerability Link
131,Node host system.run rawCommand/command mismatch can bypass allowlist/approvals,Authentication & Authorization Decision Stage,漏洞涉及绕过命令白名单和审批机制，属于权限判断和授权控制失效。,GHSA-H3F9-MJWJ-W476,High,<= 2026.2.13,CVE-2026-26325,,https://github.com/openclaw/openclaw/security/advisories/GHSA-h3f9-mjwj-w476,Vulnerability Link
132,Node system.run approval hardening wrapper semantic drift can execute unintended local scripts,Execution Stage,漏洞涉及system.run执行未经预期的本地脚本，属于命令或脚本执行阶段,GHSA-H3RM-6X7G-882F,Moderate,2026.3.1,,CWE-88,https://github.com/openclaw/openclaw/security/advisories/GHSA-h3rm-6x7g-882f,Vulnerability Link
133,Telegram: Unauthorized Senders Trigger Media Download and Disk Write Before Access Check,Resource Access Stage,漏洞在权限检查前就触发了媒体下载和磁盘写入，属于资源访问阶段的越权操作。,GHSA-H656-5VCF-CM23,Moderate,2026.2.23,,CWE-284; CWE-404; CWE-406; CWE-770,https://github.com/openclaw/openclaw/security/advisories/GHSA-h656-5vcf-cm23,Vulnerability Link
134,Harden skill download target directory validation,Resource Access Stage,漏洞涉及技能下载目标目录的验证不足，可能导致任意文件写入或路径穿越，属于资源访问阶段的问题。,GHSA-H7F7-89MM-PQH6,Moderate,<=2026.2.14,CVE-2026-27008,,https://github.com/openclaw/openclaw/security/advisories/GHSA-h7f7-89mm-pqh6,Vulnerability Link
135,Denial of service through unguarded archive extraction allowing high expansion/resource abuse (ZIP/TAR),Execution Stage,漏洞源于在解压归档文件时未限制资源消耗，直接导致系统执行阶段的高资源占用和拒绝服务。,GHSA-H89V-J3X9-8WQJ,Moderate,<=2026.2.13,,CWE-400,https://github.com/openclaw/openclaw/security/advisories/GHSA-h89v-j3x9-8wqj,Vulnerability Link
136,IPv6 multicast SSRF classifier bypass,Resource Access Stage,该漏洞涉及服务器端请求伪造（SSRF），属于系统在访问网络资源时未正确校验目标地址，导致可访问非预期资源。,GHSA-H97F-6PQJ-Q452,Low,<= 2026.2.24,,CWE-918,https://github.com/openclaw/openclaw/security/advisories/GHSA-h97f-6pqj-q452,Vulnerability Link
137,Authentication bypass in sandbox browser bridge server,Authentication & Authorization Decision Stage,漏洞涉及认证绕过，属于身份校验缺失问题,GHSA-H9G4-589H-68XV,High,>=2026.1.29-beta.1 <2026.2.14,,CWE-306,https://github.com/openclaw/openclaw/security/advisories/GHSA-h9g4-589h-68xv,Vulnerability Link
138,Experimental apply_patch may bypass workspace-only checks in opt-in sandbox mounts (off by default),Authentication & Authorization Decision Stage,漏洞涉及绕过工作区限制检查，属于权限判断缺失或授权控制不当的问题。,GHSA-H9XM-J4QG-FVPG,Moderate,<= 2026.2.22-2,,CWE-284; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-h9xm-j4qg-fvpg,Vulnerability Link
139,Gateway tokenless Tailscale auth applied to HTTP routes,Authentication & Authorization Decision Stage,漏洞涉及在未提供有效令牌的情况下错误地应用了Tailscale认证，属于身份验证和授权决策阶段的问题。,GHSA-HFF7-CCV5-52F8,Moderate,<=2026.2.19-2,,CWE-290,https://github.com/openclaw/openclaw/security/advisories/GHSA-hff7-ccv5-52f8,Vulnerability Link
140,`operator.write` chat.send could reach admin-only config writes,Authentication & Authorization Decision Stage,漏洞允许普通用户通过operator.write访问仅限管理员的配置写入，属于权限判断缺失导致的越权问题。,GHSA-HFPR-JHPQ-X4RM,Moderate,<= 2026.3.2,,CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-hfpr-jhpq-x4rm,Vulnerability Link
141,Node system.run approval context-binding weakness in approval-enabled host=node flows,Authentication & Authorization Decision Stage,漏洞涉及审批上下文绑定缺陷，导致授权决策错误,GHSA-HJVP-QHM6-WRH2,Moderate,<= 2026.2.25,,CWE-15; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-hjvp-qhm6-wrh2,Vulnerability Link
142,Hook Session Key Override Enables Targeted Cross-Session Routing,Authentication & Authorization Decision Stage,漏洞涉及会话密钥被覆盖，导致跨会话路由，属于身份或权限判断错误。,GHSA-HV93-R4J3-Q65F,High,">= 2.0.0-beta3, < 2026.2.12",,CWE-330; CWE-639,https://github.com/openclaw/openclaw/security/advisories/GHSA-hv93-r4j3-q65f,Vulnerability Link
143,system.run approval identity mismatch could execute a different binary than displayed,Authentication & Authorization Decision Stage,漏洞核心在于授权决策时身份与执行二进制不匹配，属于权限判断错误。,GHSA-HWPQ-RRPF-PGCQ,High,<=2026.2.24,,CWE-436; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-hwpq-rrpf-pgcq,Vulnerability Link
144,MS Teams fileConsent/invoke missing conversation binding allowed cross-conversation pending-upload consumption,Authentication & Authorization Decision Stage,漏洞核心在于缺少会话绑定校验，导致跨会话越权访问待上传文件，属于权限判断缺失。,GHSA-J26J-7QC4-3MRF,Moderate,<= 2026.2.24,,CWE-639; CWE-862,https://github.com/openclaw/openclaw/security/advisories/GHSA-j26j-7qc4-3mrf,Vulnerability Link
145,Denial of service via unbounded URL-backed media fetch,Resource Access Stage,漏洞涉及无限制地获取URL指向的外部媒体资源，导致资源耗尽，属于系统在访问外部资源时缺乏限制的问题。,GHSA-J27P-HQ53-9WGC,High,<2026.2.14,,CWE-400,https://github.com/openclaw/openclaw/security/advisories/GHSA-j27p-hq53-9wgc,Vulnerability Link
146,`system.run` env override filtering allowed dangerous helper-command pivots,Execution Stage,漏洞涉及对危险命令的执行控制被绕过，属于命令执行阶段的问题。,GHSA-J425-WHC4-4JGC,Moderate,<= 2026.3.2,,CWE-15; CWE-693,https://github.com/openclaw/openclaw/security/advisories/GHSA-j425-whc4-4jgc,Vulnerability Link
147,Feishu allowFrom authorization bypass via display-name collision,Authentication & Authorization Decision Stage,漏洞涉及授权绕过，因display-name冲突导致allowFrom机制失效，属于权限判断错误。,GHSA-J4XF-96QF-RX69,Moderate,<= 2026.2.21-2,,CWE-639; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-j4xf-96qf-rx69,Vulnerability Link
148,OC-31: Process Safety - Unvalidated PID Kill via SIGKILL in Process Cleanup,Resource Access Stage,漏洞涉及未验证的PID导致可向任意进程发送SIGKILL信号，属于对系统资源（进程）的非法访问和操作。,GHSA-JFV4-H8MC-JCP8,Low,< 2026.2.14,CVE-2026-27486,CWE-283,https://github.com/openclaw/openclaw/security/advisories/GHSA-jfv4-h8mc-jcp8,Vulnerability Link
149,Exec allowlist wrapper analysis did not unwrap env/shell dispatch chains,Execution Stage,漏洞涉及命令执行允许列表绕过，直接导致任意命令执行，属于执行阶段问题。,GHSA-JJ82-76V6-933R,Moderate,<= 2026.2.21-2,,CWE-78; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-jj82-76v6-933r,Vulnerability Link
150,Local File Exfiltration via MCP Tool Result MEDIA: Directive Injection,Resource Access Stage,漏洞涉及通过MCP工具结果中的MEDIA指令注入导致本地文件被读取，属于对文件资源的越权访问。,GHSA-JJGJ-CPP9-CVPV,Moderate,<= 2026.2.19-2,,CWE-22; CWE-200,https://github.com/openclaw/openclaw/security/advisories/GHSA-jjgj-cpp9-cvpv,Vulnerability Link
151,Non-constant-time token comparison in hooks authentication,Authentication & Authorization Decision Stage,漏洞涉及认证过程中令牌比较未采用恒定时间，可能导致时序攻击绕过认证,GHSA-JMM5-FVH5-GF4P,Moderate,< 2026.2.12,,CWE-208,https://github.com/openclaw/openclaw/security/advisories/GHSA-jmm5-fvh5-gf4p,Vulnerability Link
152,Browser-origin WebSocket auth hardening gap could enable loopback password brute-force chains,Authentication & Authorization Decision Stage,漏洞涉及认证机制缺陷，可能导致绕过或弱化认证，属于身份验证与授权决策阶段的问题。,GHSA-JMMG-JQC7-5QF4,High,<=2026.2.24,,CWE-287; CWE-307; CWE-346,https://github.com/openclaw/openclaw/security/advisories/GHSA-jmmg-jqc7-5qf4,Vulnerability Link
